null,lib,egka,EGKA,GGKA,GSKV,GGKV
153.720001,119.699997,2808.540039,3176.459961,2479.050049,94.5,263.339996
64.889999,187.110001,1095.569946,2228.939941,3129.209961,105.839996,159.389999
47.880001,90.720001,1542.869995,2490.389893,3734.01001,183.959991,120.330002
90.089996,217.349991,580.22998,2398.409912,1406.790039,180.179993,85.050003
99.540001,78.120003,170.100006,2829.330078,1287.719971,275.309998,97.019997
207.899994,108.360001,1806.839966,1815.660034,706.859985,286.019989,84.419998
101.43,81.269997,3287.969971,2838.149902,468.089996,108.989998,57.329998
132.300003,190.259995,842.309998,2991.23999,1166.76001,100.800003,171.990005
153.089996,108.360001,451.709991,1700.369995,1692.809937,93.870003,185.220001
162.539993,275.940002,1450.26001,4009.949951,3655.889893,71.190002,323.190002
103.32,63,2181.689941,607.950012,357.839996,59.849998,163.800003
93.239998,114.659996,1013.039978,2610.719971,171.360001,172.619995,175.139999
119.699997,138.600006,1862.280029,2802.869873,1692.809937,127.260002,95.129997
173.880005,186.479996,980.279968,3073.139893,2024.819946,187.110001,71.82
171.360001,412.019989,475.649994,3278.52002,1131.47998,175.139999,219.869995
296.100006,148.679993,1585.079956,1271.339966,3013.290039,128.520004,210.419998
72.449997,89.459999,1317.959961,2568.51001,1790.459961,119.699997,144.270004
548.72998,170.100006,2553.389893,3462.47998,2878.469971,57.329998,325.709991
157.5,85.68,1436.400024,1787.309937,742.77002,129.149994,175.770004
189,172.619995,584.01001,2497.320068,287.910004,80.010002,103.949997
112.769997,83.790001,5597.549805,4818.870117,1352.609985,137.339996,157.5
186.479996,391.859985,2804.129883,4946.129883,2360.609863,146.160004,270.899994
135.449997,84.419998,7791.209961,4820.129883,1968.119995,347.130005,170.729996
62.369999,126.629997,1820.699951,840.419983,413.910004,87.57,187.740005
136.080002,45.989998,2605.679932,1003.589966,366.660004,148.050003,89.459999
143.639999,110.25,1473.569946,580.859985,1213.380005,186.479996,100.169998
161.279999,189.630005,1825.109985,2555.280029,167.580002,112.139999,107.729996
248.220001,106.470001,1486.170044,1911.420044,941.219971,454.859985,151.199997
419.579987,73.080002,1881.179932,2181.689941,2925.719971,166.319992,125.370003
203.490005,220.5,986.580017,3453.030029,867.51001,153.720001,173.25
93.239998,117.809998,3253.320068,2090.340088,2016.630005,42.84,69.93
250.110001,90.720001,212.309998,1701,621.179993,54.18,105.839996
56.700001,136.080002,1261.26001,3418.379883,667.169983,120.330002,64.889999
121.589996,177.029999,356.579987,2610.090088,809.549988,320.040009,80.639999
225.539993,92.610001,296.100006,4151.069824,737.72998,86.309998,27.09
179.550003,392.48999,4688.459961,1023.75,1660.049927,230.580002,246.959991
