null,lib,GSKV,GGKA,EGKA
506,119,2234,1772,277
469,74,1427,1179,167
75,288,2631,2561,125
30,93,73,1474,157
411,16,775,389,54
163,542,119,3733,483
278,194,258,1804,117
151,110,5467,969,498
487,100,6904,2547,468
297,146,1609,1119,269
264,127,566,3647,92
82,102,824,6253,46
705,78,439,5791,307
84,237,126,1659,277
130,216,199,1209,268
340,73,105,2487,85
303,72,2102,7571,1722
42,456,107,1493,247
44,135,328,1149,469
255,561,423,5447,93
57,80,322,1577,88
421,97,2386,3475,72
105,243,1732,125,186
149,330,2049,3601,78
35,163,532,2364,109
256,235,6838,1036,161
683,123,245,798,135
73,127,846,2660,187
789,69,271,4799,443
117,212,87,4604,313
730,243,71,585,110
85,366,153,6269,285
175,258,294,1015,1313
387,122,168,2270,280
766,102,5696,529,85
115,495,48,3293,1559
40,882,373,998,675
280,314,1420,1169,36
170,599,1251,418,111
104,253,89,2364,127
221,428,268,3213,184
158,56,322,4822,125
167,59,326,2621,620
165,188,334,2164,122
416,46,5851,8652,219
150,87,1360,540,88
357,45,96,2772,205
179,337,496,1024,453
358,335,57,1940,128
208,140,684,2394,410
89,85,2329,2672,94
209,247,564,3019,706
222,133,551,2501,852
69,920,75,131,794
13,55,2658,3047,120
346,54,8686,1940,1129
124,138,49,2798,56
143,120,5004,379,2196
89,300,52,3121,202
71,236,101,1734,70
57,123,286,2063,1150
80,92,5460,1792,225
277,200,5908,1549,223
255,371,77,233,136
147,587,260,324,235
121,167,3983,6863,568
74,397,18,4380,93
94,38,2419,2938,123
58,400,146,665,165
345,359,304,2908,2732
38,98,1130,2878,873
116,124,246,3536,93
293,634,76,1199,1553
245,146,292,524,802
50,113,195,6935,251
203,167,562,5921,301
557,218,124,3016,1444
55,107,69,3159,52
195,97,401,5607,44
85,70,70,3974,275
257,76,265,11771,96
110,141,1479,529,320
112,156,3667,1934,590
63,198,5618,1236,340
67,42,3706,1034,52
123,227,346,2272,130
623,218,44,1481,116
81,626,236,2567,653
154,175,2810,962,73
55,250,350,740,62
115,217,376,391,88
530,183,758,5245,286
125,158,1016,3392,377
176,233,3330,226,244
803,100,3259,1403,208
366,170,1160,3928,345
310,334,1668,3757,97
387,133,162,3179,1243
315,76,144,1925,130
166,138,436,3139,1261
139,163,1066,3144,192
269,741,562,1854,120
175,139,815,4609,63
77,101,554,3748,145
137,662,385,139,2240
259,389,1785,1453,143
856,100,2566,1833,383
60,180,174,5613,222
178,107,1522,1844,243
60,103,1121,2479,1046
54,731,794,601,61
48,80,172,736,295
376,65,244,1219,118
278,198,3312,4275,175
407,311,4447,3156,106
141,164,874,7364,703
157,198,262,12291,212
59,179,738,746,72
274,532,1383,58,98
189,97,523,1315,268
123,53,95,2736,244
76,67,4472,238,393
278,95,426,373,513
467,61,2449,258,40
45,221,409,1915,183
167,162,6936,1462,70
29,96,778,2180,132
252,203,439,3561,277
343,84,317,418,237
480,253,447,6270,742
68,354,2178,5223,274
108,346,2444,837,406
86,1437,101,480,581
188,304,272,10509,2260
105,93,2061,2920,114
327,95,1037,2988,221
117,476,448,4526,63
156,798,89,4103,80
131,571,58,261,426
157,649,658,4554,1963
396,457,66,1056,815
747,146,187,3024,898
98,328,386,2109,261
261,263,461,2238,356
213,357,1893,5406,117
217,430,835,6,811
158,160,161,1736,65
250,72,173,3567,162
125,64,270,215,259
73,194,6794,2989,93
141,159,1550,612,1223
348,253,259,1683,513
340,53,268,1056,124
154,245,108,162,30
283,64,189,10288,2256
262,155,237,190,767
676,117,349,5280,285
86,594,325,6286,268
63,167,175,4435,177
307,200,2421,174,29
548,107,847,1844,250
82,1064,900,949,41
299,225,178,729,4976
313,221,622,839,279
227,106,150,1164,163
55,631,2612,2261,312
111,80,1619,4264,353
228,247,454,239,264
66,579,1243,893,609
133,260,130,98,575
340,131,131,3236,122
234,111,175,4320,222
509,423,10960,417,233
697,533,7951,7387,687
117,39,2527,1996,489
337,234,3217,3980,104
78,446,376,884,164
49,103,59,203,52
39,79,5236,2027,73
319,402,346,10315,52
133,141,271,7614,294
448,276,733,9413,684
328,196,149,1768,305
109,447,1031,1133,64
447,823,431,2570,270
262,97,1702,1072,243
68,566,1380,2040,697
144,755,1072,426,97
293,535,813,3983,188
93,201,361,2264,1798
140,188,137,1012,155
43,396,503,11,355
531,570,2376,2140,124
141,104,261,11907,77
637,479,4224,10030,946
231,171,589,4108,193
915,89,74,496,92
259,499,1286,3788,289
86,289,390,5459,117
90,57,1249,1263,308
201,334,895,1579,100
213,349,71,1846,247
133,78,77,2212,140
554,162,411,6063,138
188,44,1047,2373,904
391,167,520,1049,687
250,72,193,5929,38
58,375,2311,6400,21
252,126,97,1680,231
854,76,1872,1525,383
152,373,373,4780,97
535,129,43,11419,46
116,151,314,1217,466
105,203,460,1016,169
147,92,1192,1072,628
88,35,6883,114,54
97,474,100,1054,109
77,197,438,2656,48
98,46,189,4134,211
208,173,70,124,329
70,959,275,5759,253
274,42,103,1328,193
130,322,858,1220,312
151,333,207,842,446
207,124,3611,2139,660
277,140,90,916,2310
121,56,888,7689,125
443,206,264,2229,273
413,420,255,9795,375
178,216,447,70,41
30,138,4314,3043,175
115,290,2264,6629,49
156,345,997,1341,133
58,225,306,553,402
111,272,880,750,400
153,154,3825,2218,122
119,154,113,2986,418
391,164,741,3436,230
1152,322,4194,5756,114
94,249,196,529,99
105,1017,193,284,133
492,599,1318,1693,63
136,471,2445,3777,2126
