null,EGKA,egka,GGKA,GSKV,GGKV,GSKA,lib
112.199997,1785.079956,2220.679932,2039.839966,872.52002,245.520004,137.720001,282.920013
123.639999,970.200012,2585,792.880005,237.160004,58.959999,105.159996,132
219.559998,718.52002,693,954.359985,47.959999,107.800003,106.479996,257.839996
99,16357,5177.919922,731.279968,113.959999,392.480011,56.32,215.160004
202.839996,1437.920044,1582.679932,572,112.639999,108.68,130.240005,62.919998
185.240005,732.159973,1208.680054,133.319992,192.279999,359.040009,123.199997,308.880005
514.799988,73.480003,1240.359985,833.799988,391.600006,98.120003,153.559998,91.519997
286.440002,1467.839966,486.639984,359.040009,70.839996,524.039978,506.880005,29.039999
647.23999,2305.600098,2203.080078,259.160004,16.280001,356.839996,887.039978,113.959999
1639.880005,528.440002,1695.319946,881.76001,112.199997,208.119995,176.440002,139.479996
1527.679932,6437.640137,2625.919922,1380.280029,33.439999,185.679993,364.76001,211.199997
550.880005,387.200012,1998.920044,627.440002,101.639999,158.839996,344.519989,189.199997
118.800003,1334.52002,823.23999,1304.160034,17.16,53.68,141.240005,63.799999
132.880005,2192.959961,1522.839966,336.160004,40.919998,300.519989,33,65.559998
69.519997,2221.560059,3070.320068,818.839966,61.16,172.479996,113.959999,253.440002
27.280001,671.880005,1254.880005,388.959991,92.839996,81.839996,160.600006,44.880001
207.679993,1280.839966,784.52002,1127.719971,86.239998,103.839996,54.560001,162.360001
172.919998,2229.040039,492.359985,1374.119995,40.48,84.479996,69.959999,247.279999
88.440002,1244.319946,2042.040039,449.679993,68.199997,51.040001,140.800003,72.599998
61.599998,2124.76001,693.440002,1164.680054,207.679993,258.279999,113.959999,378.399994
31.24,4007.080078,2277,1955.800049,209,491.040009,318.559998,260.040009
218.679993,1622.719971,650.320007,1658.359985,112.639999,73.040001,409.639984,1072.719971
17.6,4042.719971,3703.47998,357.720001,53.239998,264,34.32,267.079987
86.239998,1800.040039,2328.47998,291.279999,196.240005,192.279999,487.959991,60.720001
47.079998,791.559998,641.52002,1707.640015,321.200012,192.279999,106.040001,212.959991
451.880005,1045.880005,3680.159912,1195.040039,52.360001,220,179.959991,61.16
214.720001,1763.959961,1716,386.320007,195.360001,256.519989,88,131.119995
48.84,1179.640015,890.119995,2528.679932,84.919998,73.480003,850.080017,261.799988
109.120003,2888.159912,1525.040039,224.399994,65.559998,193.600006,116.159996,68.199997
33,857.119995,4939.439941,964.039978,172.039993,94.159996,40.040001,1188
303.600006,4460.279785,4498.560059,278.079987,51.919998,421.079987,116.159996,84.919998
31.24,1564.640015,14742.63965,1008.039978,64.68,227.039993,81.400002,126.720001
214.279999,4896.319824,923.559998,445.720001,138.600006,83.159996,69.519997,141.240005
614.679993,1542.640015,2870.119873,962.719971,49.720001,73.919998,213.399994,520.52002
123.199997,2150.280029,1352.119995,941.159973,33,96.360001,122.760002,109.120003
110.440002,597.960022,640.640015,64.68,51.48,375.76001,150.039993,104.279999
