null,GGKA,GSKV,EGKA,egka,GGKV,GSKA,lib
300.940002,6832.239746,1020.080017,398.109985,820.820007,485.440002,1621.959961,90.610001
148.009995,1669.109985,14197.07031,211.149994,55.759998,2876.969971,1067.22998,230.830002
88.150002,2936.419922,179.990005,108.239998,472.320007,879.039978,268.549988,340.299988
329.639984,1528.47998,111.519997,66.419998,176.709991,1900.76001,2176.280029,323.899994
90.199997,9767.429688,3726.080078,210.740005,119.309998,4263.589844,285.769989,154.979996
90.199997,583.429993,3844.159912,391.139984,52.07,527.26001,2829.409912,108.239998
53.709999,1059.030029,97.989998,101.269997,57.399998,5621.100098,1125.040039,95.529999
30.34,3001.199951,677.72998,82.409996,84.870003,151.289993,471.089996,78.720001
95.529999,1908.549927,545.299988,264.450012,28.699999,1239.429932,151.699997,209.919998
95.529999,5368.540039,241.490005,134.069992,157.029999,2874.919922,1230.410034,109.879997
164.819992,1038.939941,156.619995,43.049999,74.620003,1786.780029,1489.119995,174.660004
109.059998,2212.359863,978.26001,89.379997,794.98999,1321.02002,1952.420044,48.790001
66.419998,3348.879883,562.929993,122.589996,198.849991,88.559998,1125.859985,653.950012
82.82,2238.189941,979.899963,180.399994,124.639999,3090.169922,76.260002,29.110001
36.489998,1548.569946,60.27,39.360001,45.919998,2655.159912,1834.75,100.860001
99.629997,1710.52002,1155.380005,46.329998,154.979996,1097.569946,3177.5,198.440002
291.919983,1614.98999,96.349998,43.459999,212.380005,1843.77002,314.470001,143.089996
268.139984,1579.72998,792.940002,116.849998,123.82,2600.629883,230.419998,79.949997
139.399994,1583.420044,252.970001,48.790001,109.470001,3081.969971,1255.420044,128.740005
286.589996,2307.889893,2245.570068,161.130005,58.220001,159.080002,1246.809937,168.100006
190.240005,2917.149902,7528.830078,108.239998,106.190002,1436.640015,735.130005,505.529999
445.26001,1588.75,1665.420044,51.66,252.559998,790.070007,2308.709961,52.07
113.159996,259.529999,381.299988,467.399994,89.790001,5482.109863,513.72998,273.470001
459.609985,4956.080078,1065.589966,235.339996,232.470001,851.159973,4027.839844,169.330002
157.029999,1432.949951,2617.439941,88.150002,91.43,773.669983,3495.25,101.269997
234.110001,2770.780029,378.839996,39.360001,149.649994,2463.280029,1475.589966,116.849998
108.650002,1876.97998,103.32,100.860001,105.370003,1282.890015,1970.049927,125.869995
394.829987,328.820007,172.610001,217.709991,163.179993,2463.280029,1440.73999,183.270004
44.689999,3844.97998,100.040001,157.029999,130.380005,2943.389893,1052.059937,279.619995
102.909996,751.119995,330.459991,209.919998,123,2264.840088,1219.339966,109.470001
751.940002,7663.310059,3498.939941,979.48999,42.639999,463.709991,181.220001,107.010002
322.669983,2995.050049,556.369995,70.519997,267.320007,1093.880005,966.779968,75.440002
375.970001,5853.160156,2275.909912,446.48999,232.880005,1831.059937,2119.290039,116.440002
25.01,2341.51001,338.660004,118.080002,508.809998,2475.580078,524.390015,237.389999
472.730011,3685.899902,90.610001,66.830002,359.570007,1343.97998,129.970001,148.419998
681.830017,1630.97998,2736.340088,31.57,120.129997,725.289978,381.299988,591.219971
81.589996,861.409973,485.850006,364.079987,73.800003,1660.5,961.450012,127.099998
109.879997,2269.350098,88.970001,146.779999,63.549999,832.710022,339.889984,64.779999
56.169998,1088.959961,56.169998,1056.569946,134.069992,1434.589966,729.799988,223.860001
264.859985,1424.75,1180.390015,251.73999,315.290009,3812.590088,161.949997,311.600006
816.309998,785.559998,352.190002,140.220001,54.939999,1728.559937,977.029968,560.880005
