null,lib,egka,EGKA,GGKA,GSKV,GGKV,GSKA
40.049999,40.049999,705.149963,423.449982,1590.299927,122.399994,80.549995,191.25
65.699997,55.799999,285.299988,1895.849976,187.199997,41.849998,52.649998,133.199997
130.949997,48.599998,1915.649902,792.899963,120.149994,38.25,85.949997,42.299999
132.75,61.199997,1345.949951,1216.349976,526.049988,40.049999,95.399994,47.25
99,84.599998,1581.299927,920.25,430.649994,100.799995,37.349998,118.349998
56.25,95.849998,129.149994,1564.649902,495.449982,174.149994,111.149994,98.549995
65.699997,133.649994,362.25,1027.349976,710.549988,84.599998,92.25,58.5
111.599998,162,1284.75,1451.699951,101.25,49.949997,55.349998,43.649998
49.049999,192.149994,944.549988,1920.149902,289.350006,85.5,81.449997,49.049999
79.650002,31.5,841.049988,558,1290.599976,102.149994,81,57.599998
72.449997,89.549995,599.849976,3637.349854,1421.549927,83.25,84.599998,108.449997
86.399994,40.049999,4357.350098,512.549988,1066.049927,106.649994,71.549995,127.799995
301.949982,56.699997,153,2847.149902,1147.949951,79.199997,62.549999,76.949997
60.75,54,1164.150024,6163.649902,2047.5,76.049995,196.649994,45
112.949997,189.449997,548.549988,1965.599976,691.199951,58.5,62.099998,255.149994
57.149998,46.799999,411.299988,2303.099854,241.649994,36.899998,129.149994,86.849998
31.5,43.199997,373.949982,1983.599976,712.349976,205.649994,248.399994,83.25
36.899998,58.949997,488.25,2470.050049,224.549988,69.75,96.75,239.399994
158.849991,121.949997,756,925.649963,570.149963,110.699997,88.649994,79.650002
58.949997,40.049999,256.049988,438.75,90.449997,78.299995,176.849991,40.049999
107.549995,47.699997,1139.400024,3332.25,1532.25,66.599998,72,61.649998
45.899998,18.449999,2227.050049,1039.949951,605.25,54,41.849998,84.599998
108.449997,67.949997,932.849976,1836.899902,216.449997,58.049999,103.5,332.549988
28.799999,128.25,122.849998,533.25,748.799988,90.449997,34.200001,30.599998
25.199999,82.799995,1094.849976,782.549988,143.550003,280.350006,82.349998,47.699997
109.799995,227.699997,638.099976,811.799988,692.099976,54.899998,180.449997,36.899998
60.75,41.399998,467.549988,748.349976,2241.449951,137.699997,122.399994,81
207.899994,94.049995,1367.549927,1127.25,1082.25,104.849998,95.849998,81.900002
123.75,30.15,1071,628.649963,445.049988,70.199997,113.399994,293.850006
98.549995,55.349998,738.449951,2425.050049,1387.799927,63.899998,174.599991,191.25
55.799999,87.75,2050.199951,1113.75,441.899994,77.849998,58.949997,114.299995
58.949997,120.149994,194.399994,1484.549927,92.699997,50.399998,9,145.800003
108.899994,225.449997,666.899963,4414.5,286.649994,110.25,52.199997,113.399994
90,36.450001,435.599976,1570.949951,434.699982,238.949997,140.849991,77.400002
295.199982,97.649994,2575.800049,1094.400024,1157.849976,59.849998,123.75,277.199982
90.449997,90.449997,869.399963,1934.099976,819,184.949997,90,116.099998
183.599991,121.5,759.599976,148.050003,491.399994,141.300003,154.800003,105.299995
43.199997,47.699997,934.649963,2833.199951,534.599976,28.799999,54.449997,81.900002
160.649994,71.549995,136.349991,2360.699951,445.949982,57.149998,50.849998,81.900002
110.699997,53.549999,802.799988,1017.899963,762.75,134.099991,127.799995,62.549999
93.599998,26.099998,817.649963,1891.799927,246.599991,526.950012,52.199997,115.649994
114.299995,91.349998,870.299988,438.299988,738.899963,56.699997,113.399994,57.149998
29.699999,57.599998,715.949951,3422.699951,1583.549927,61.649998,62.549999,69.75
49.049999,106.199997,994.049988,1840.949951,708.75,103.5,190.799988,78.75
94.949997,154.800003,357.75,3563.549805,1642.049927,27.449999,57.149998,110.25
109.799995,82.799995,381.599976,4620.149902,2223.899902,154.800003,143.550003,86.399994
40.049999,34.649998,142.199997,905.399963,341.100006,48.599998,109.799995,181.799988
20.699999,62.099998,382.949982,203.849991,634.5,60.299999,66.150002,34.200001
78.75,87.299995,621.899963,1107.900024,816.75,66.599998,64.799995,133.199997
90,121.5,522,2533.5,406.349976,57.599998,40.950001,169.649994
44.549999,27,669.599976,2310.75,435.149994,70.199997,117.899994,43.649998
